BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
Yin Wan Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1421&street=E%202ND%20AVENUE;1421;E 2ND AVENUE;1;33;"{""coordinates"": [-123.07483703, 49.26899957], ""type"": ""Point""}";Grandview-Woodland;49.26899957, -123.07483703
Albert Weisstock;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1545&street=E%204TH%20AVENUE;1545;E 4TH AVENUE;1;8;"{""coordinates"": [-123.07248681, 49.26716005], ""type"": ""Point""}";Grandview-Woodland;49.26716005, -123.07248681
George & Miriam & Theresa Winkler;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=E%205TH%20AVENUE;1650;E 5TH AVENUE;1;56;"{""coordinates"": [-123.07146865, 49.26573037], ""type"": ""Point""}";Grandview-Woodland;49.26573037, -123.07146865
Prang Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=E%205TH%20AVENUE;525;E 5TH AVENUE;2;41;"{""coordinates"": [-123.09199214, 49.26643111], ""type"": ""Point""}";Mount Pleasant;49.26643111, -123.09199214
Quinta Strada Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1908&street=E%205TH%20AVENUE;1908;E 5TH AVENUE;1;7;"{""coordinates"": [-123.06560007, 49.26567525], ""type"": ""Point""}";Grandview-Woodland;49.26567525, -123.06560007
Mighty Atom Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=203&street=E%206TH%20AVENUE;203;E 6TH AVENUE;1;17;"{""coordinates"": [-123.10037627, 49.26564177], ""type"": ""Point""}";Mount Pleasant;49.26564177, -123.10037627
262109 B C Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=801&street=E%206TH%20AVENUE;801;E 6TH AVENUE;7;188;"{""coordinates"": [-123.08625103, 49.26561196], ""type"": ""Point""}";Mount Pleasant;49.26561196, -123.08625103
Briscoe Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1555&street=E%206TH%20AVENUE;1555;E 6TH AVENUE;1;44;"{""coordinates"": [-123.07266613, 49.26534903], ""type"": ""Point""}";Grandview-Woodland;49.26534903, -123.07266613
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1620&street=E%206TH%20AVENUE;1620;E 6TH AVENUE;1;41;"{""coordinates"": [-123.0713509, 49.26471876], ""type"": ""Point""}";Grandview-Woodland;49.26471876, -123.0713509
MML Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=677&street=E%207TH%20AVENUE;677;E 7TH AVENUE;1;42;"{""coordinates"": [-123.08980404, 49.26458388], ""type"": ""Point""}";Mount Pleasant;49.26458388, -123.08980404
Joseph Seccia & Mario Seccia;http://app.vancouver.ca/RPS_Net/Default.aspx?num=727&street=E%207TH%20AVENUE;727;E 7TH AVENUE;1;38;"{""coordinates"": [-123.0884632, 49.26457098], ""type"": ""Point""}";Mount Pleasant;49.26457098, -123.0884632
Acona Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=537&street=E%207TH%20AVENUE;537;E 7TH AVENUE;4;9;"{""coordinates"": [-123.09207801, 49.26460098], ""type"": ""Point""}";Mount Pleasant;49.26460098, -123.09207801
R Markham;http://app.vancouver.ca/RPS_Net/Default.aspx?num=611&street=E%207TH%20AVENUE;611;E 7TH AVENUE;1;106;"{""coordinates"": [-123.09038875, 49.26458658], ""type"": ""Point""}";Mount Pleasant;49.26458658, -123.09038875
Ludvik Rener & Anna Rener;http://app.vancouver.ca/RPS_Net/Default.aspx?num=454&street=E%208TH%20AVENUE;454;E 8TH AVENUE;1;15;"{""coordinates"": [-123.09405744, 49.2631961], ""type"": ""Point""}";Mount Pleasant;49.2631961, -123.09405744
C B T Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=156&street=E%208TH%20AVENUE;156;E 8TH AVENUE;4;12;"{""coordinates"": [-123.10142785, 49.26354412], ""type"": ""Point""}";Mount Pleasant;49.26354412, -123.10142785
BC Indigenous Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1330&street=E%208TH%20AVENUE;1330;E 8TH AVENUE;1;36;"{""coordinates"": [-123.07666847, 49.263058], ""type"": ""Point""}";Grandview-Woodland;49.263058, -123.07666847
Jan Friedman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=E%2010TH%20AVENUE;1629;E 10TH AVENUE;1;8;"{""coordinates"": [-123.07100231, 49.26163547], ""type"": ""Point""}";Kensington-Cedar Cottage;49.26163547, -123.07100231
Kensington Court Apts Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=E%2011TH%20AVENUE;425;E 11TH AVENUE;1;57;"{""coordinates"": [-123.0955488, 49.26092575], ""type"": ""Point""}";Mount Pleasant;49.26092575, -123.0955488
YWCA;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1975&street=E%2012TH%20AVENUE;1975;E 12TH AVENUE;2;29;"{""coordinates"": [-123.06448489, 49.25978589], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25978589, -123.06448489
Tracys Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=275&street=E%2013TH%20AVENUE;275;E 13TH AVENUE;1;23;"{""coordinates"": [-123.09924046, 49.25953447], ""type"": ""Point""}";Mount Pleasant;49.25953447, -123.09924046
Van Center Management Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=44&street=E%2013TH%20AVENUE;44;E 13TH AVENUE;2;51;"{""coordinates"": [-123.10421593, 49.25906153], ""type"": ""Point""}";Mount Pleasant;49.25906153, -123.10421593
Q-14 HOLDINGS LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=95&street=E%2014TH%20AVENUE;95;E 14TH AVENUE;14;26;"{""coordinates"": [-123.10353917, 49.25878761], ""type"": ""Point""}";Mount Pleasant;49.25878761, -123.10353917
HWP 242 14th Avenue Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=242&street=E%2014TH%20AVENUE;242;E 14TH AVENUE;1;20;"{""coordinates"": [-123.09946364, 49.25812427], ""type"": ""Point""}";Mount Pleasant;49.25812427, -123.09946364
Constantine Mouratidis & Petros Mouratidis;http://app.vancouver.ca/RPS_Net/Default.aspx?num=524&street=E%2015TH%20AVENUE;524;E 15TH AVENUE;1;5;"{""coordinates"": [-123.09311723, 49.25705348], ""type"": ""Point""}";Mount Pleasant;49.25705348, -123.09311723
544792 Brtitish Columbia Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=130&street=E%2015TH%20AVENUE;130;E 15TH AVENUE;2;42;"{""coordinates"": [-123.10243269, 49.25725915], ""type"": ""Point""}";Mount Pleasant;49.25725915, -123.10243269
667441 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=631&street=E%2015TH%20AVENUE;631;E 15TH AVENUE;2;12;"{""coordinates"": [-123.09023606, 49.25740256], ""type"": ""Point""}";Mount Pleasant;49.25740256, -123.09023606
Nhung Thi Dinh & Thi T Dinh;http://app.vancouver.ca/RPS_Net/Default.aspx?num=657&street=E%2015TH%20AVENUE;657;E 15TH AVENUE;1;8;"{""coordinates"": [-123.08967635, 49.25734985], ""type"": ""Point""}";Mount Pleasant;49.25734985, -123.08967635
Chang Wu;http://app.vancouver.ca/RPS_Net/Default.aspx?num=137&street=E%2016TH%20AVENUE;137;E 16TH AVENUE;4;8;"{""coordinates"": [-123.10214692, 49.25686634], ""type"": ""Point""}";Mount Pleasant;49.25686634, -123.10214692
Yueko Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=210&street=E%2016TH%20AVENUE;210;E 16TH AVENUE;1;10;"{""coordinates"": [-123.10052349, 49.25632539], ""type"": ""Point""}";Riley Park;49.25632539, -123.10052349
East 16th Avenue Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=E%2016TH%20AVENUE;223;E 16TH AVENUE;1;23;"{""coordinates"": [-123.10011655, 49.25684207], ""type"": ""Point""}";Mount Pleasant;49.25684207, -123.10011655
Mighty Atom Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=199&street=E%2017TH%20AVENUE;199;E 17TH AVENUE;6;8;"{""coordinates"": [-123.1017011, 49.25587369], ""type"": ""Point""}";Riley Park;49.25587369, -123.1017011
Natan Cheifetz;http://app.vancouver.ca/RPS_Net/Default.aspx?num=248&street=E%2028TH%20AVENUE;248;E 28TH AVENUE;2;6;"{""coordinates"": [-123.10017626, 49.24546463], ""type"": ""Point""}";Riley Park;49.24546463, -123.10017626
Hardip Pawa & Surinder Pawa;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2001&street=E%2036TH%20AVENUE;2001;E 36TH AVENUE;3;8;"{""coordinates"": [-123.06502751, 49.23766833], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23766833, -123.06502751
Eddie Yen & Sandra Yen et al;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1995&street=E%2039TH%20AVENUE;1995;E 39TH AVENUE;1;7;"{""coordinates"": [-123.0658778, 49.23469154], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23469154, -123.0658778
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1602&street=E%2041ST%20AVENUE;1602;E 41ST AVENUE;1;15;"{""coordinates"": [-123.07256746, 49.23238482], ""type"": ""Point""}";Victoria-Fraserview;49.23238482, -123.07256746
Christa Vina Investment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1408&street=E%2041ST%20AVENUE;1408;E 41ST AVENUE;1;42;"{""coordinates"": [-123.07649817, 49.23243487], ""type"": ""Point""}";Victoria-Fraserview;49.23243487, -123.07649817
Lam & Son Investment Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=686&street=E%2043RD%20AVENUE;686;E 43RD AVENUE;7;6;"{""coordinates"": [-123.09101847, 49.23085789], ""type"": ""Point""}";Sunset;49.23085789, -123.09101847
ELSIE'S BUILDING LTD.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1965&street=E%2043RD%20AVENUE;1965;E 43RD AVENUE;1;6;"{""coordinates"": [-123.06600764, 49.23071291], ""type"": ""Point""}";Victoria-Fraserview;49.23071291, -123.06600764
Michelle's Import Plus Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=206&street=E%2049TH%20AVENUE;206;E 49TH AVENUE;3;15;"{""coordinates"": [-123.10124557, 49.2254594], ""type"": ""Point""}";Sunset;49.2254594, -123.10124557
175 Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=175&street=E%20BROADWAY;175;E BROADWAY;1;49;"{""coordinates"": [-123.10144548, 49.26311053], ""type"": ""Point""}";Mount Pleasant;49.26311053, -123.10144548
Alpha Partner Global Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1533&street=E%20BROADWAY;1533;E BROADWAY;1;12;"{""coordinates"": [-123.0730316, 49.26264074], ""type"": ""Point""}";Grandview-Woodland;49.26264074, -123.0730316
Gordon Block Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=833&street=E%20BROADWAY;833;E BROADWAY;1;11;"{""coordinates"": [-123.08642837, 49.26274833], ""type"": ""Point""}";Mount Pleasant;49.26274833, -123.08642837
Cameo Concepts Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=E%20BROADWAY;1209;E BROADWAY;1;37;"{""coordinates"": [-123.07869297, 49.26268242], ""type"": ""Point""}";Mount Pleasant;49.26268242, -123.07869297
Broadway Terrace Development Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1530&street=E%20BROADWAY;1530;E BROADWAY;5;5;"{""coordinates"": [-123.07302189, 49.26202774], ""type"": ""Point""}";Kensington-Cedar Cottage;49.26202774, -123.07302189
Albina Halfar & Joseph Helmut Halfar;http://app.vancouver.ca/RPS_Net/Default.aspx?num=389&street=E%20BROADWAY;389;E BROADWAY;5;11;"{""coordinates"": [-123.0961867, 49.26299326], ""type"": ""Point""}";Mount Pleasant;49.26299326, -123.0961867
1383 E Broadway Homes Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1383&street=E%20BROADWAY;1383;E BROADWAY;3;30;"{""coordinates"": [-123.07579922, 49.26266414], ""type"": ""Point""}";Grandview-Woodland;49.26266414, -123.07579922
1208149 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=139&street=E%20CORDOVA%20STREET;139;E CORDOVA STREET;3;46;"{""coordinates"": [-123.10088225, 49.28256585], ""type"": ""Point""}";Downtown;49.28256585, -123.10088225
Metro Vancouver Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=420&street=E%20CORDOVA%20STREET;420;E CORDOVA STREET;5;65;"{""coordinates"": [-123.09482718, 49.28193148], ""type"": ""Point""}";Strathcona;49.28193148, -123.09482718
Mavis McMullen Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=430&street=E%20CORDOVA%20STREET;430;E CORDOVA STREET;1;34;"{""coordinates"": [-123.09447792, 49.28192592], ""type"": ""Point""}";Strathcona;49.28192592, -123.09447792
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=450&street=E%20CORDOVA%20STREET;450;E CORDOVA STREET;1;147;"{""coordinates"": [-123.09391899, 49.28191513], ""type"": ""Point""}";Strathcona;49.28191513, -123.09391899
679 East Cordova Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=679&street=E%20CORDOVA%20STREET;679;E CORDOVA STREET;1;12;"{""coordinates"": [-123.08971424, 49.28235112], ""type"": ""Point""}";Strathcona;49.28235112, -123.08971424
Southwood Ventures Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=50&street=E%20CORDOVA%20STREET;50;E CORDOVA STREET;6;39;"{""coordinates"": [-123.10305901, 49.28215237], ""type"": ""Point""}";Downtown;49.28215237, -123.10305901
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=100&street=E%20CORDOVA%20STREET;100;E CORDOVA STREET;1;56;"{""coordinates"": [-123.1019758, 49.28207009], ""type"": ""Point""}";Downtown;49.28207009, -123.1019758
Raincity Housing And Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=512&street=E%20CORDOVA%20STREET;512;E CORDOVA STREET;2;24;"{""coordinates"": [-123.09301216, 49.28189653], ""type"": ""Point""}";Strathcona;49.28189653, -123.09301216
Casu Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=221&street=E%20GEORGIA%20STREET;221;E GEORGIA STREET;1;16;"{""coordinates"": [-123.09882654, 49.27880593], ""type"": ""Point""}";Strathcona;49.27880593, -123.09882654
Yee Fung Toy Society of Canada;http://app.vancouver.ca/RPS_Net/Default.aspx?num=224&street=E%20GEORGIA%20STREET;224;E GEORGIA STREET;8;12;"{""coordinates"": [-123.09875289, 49.27829156], ""type"": ""Point""}";Strathcona;49.27829156, -123.09875289
249 East Georgia Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E%20GEORGIA%20STREET;249;E GEORGIA STREET;6;18;"{""coordinates"": [-123.09800036, 49.27878965], ""type"": ""Point""}";Strathcona;49.27878965, -123.09800036
245 E Georgia Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=245&street=E%20GEORGIA%20STREET;245;E GEORGIA STREET;1;40;"{""coordinates"": [-123.09809645, 49.27879217], ""type"": ""Point""}";Strathcona;49.27879217, -123.09809645
291 East Georgia Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=291&street=E%20GEORGIA%20STREET;291;E GEORGIA STREET;10;36;"{""coordinates"": [-123.09739946, 49.2786769], ""type"": ""Point""}";Strathcona;49.2786769, -123.09739946
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=16&street=E%20HASTINGS%20STREET;16;E HASTINGS STREET;6;90;"{""coordinates"": [-123.1039351, 49.28110813], ""type"": ""Point""}";Downtown;49.28110813, -123.1039351
71-77 East Hastings Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=71&street=E%20HASTINGS%20STREET;71;E HASTINGS STREET;1;19;"{""coordinates"": [-123.10259012, 49.28168322], ""type"": ""Point""}";Downtown;49.28168322, -123.10259012
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=103&street=E%20HASTINGS%20STREET;103;E HASTINGS STREET;1;19;"{""coordinates"": [-123.10187599, 49.28167732], ""type"": ""Point""}";Downtown;49.28167732, -123.10187599
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=177&street=E%20HASTINGS%20STREET;177;E HASTINGS STREET;37;81;"{""coordinates"": [-123.10049774, 49.28165623], ""type"": ""Point""}";Downtown;49.28165623, -123.10049774
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=261&street=E%20HASTINGS%20STREET;261;E HASTINGS STREET;10;51;"{""coordinates"": [-123.09808091, 49.28159904], ""type"": ""Point""}";Strathcona;49.28159904, -123.09808091
Sanford Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=475&street=E%20HASTINGS%20STREET;475;E HASTINGS STREET;1;52;"{""coordinates"": [-123.09376706, 49.28153307], ""type"": ""Point""}";Strathcona;49.28153307, -123.09376706
Kim Thanh Nguyen (Kim Nguyen);http://app.vancouver.ca/RPS_Net/Default.aspx?num=786&street=E%20HASTINGS%20STREET;786;E HASTINGS STREET;5;44;"{""coordinates"": [-123.08770046, 49.28080296], ""type"": ""Point""}";Strathcona;49.28080296, -123.08770046
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=933&street=E%20HASTINGS%20STREET;933;E HASTINGS STREET;4;70;"{""coordinates"": [-123.08346131, 49.28132913], ""type"": ""Point""}";Strathcona;49.28132913, -123.08346131
Anhart Community Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=25&street=E%20HASTINGS%20STREET;25;E HASTINGS STREET;3;70;"{""coordinates"": [-123.10361324, 49.28170077], ""type"": ""Point""}";Downtown;49.28170077, -123.10361324
Raincity Housing and Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=65&street=E%20HASTINGS%20STREET;65;E HASTINGS STREET;5;92;"{""coordinates"": [-123.10290041, 49.28169883], ""type"": ""Point""}";Downtown;49.28169883, -123.10290041
;http://app.vancouver.ca/RPS_Net/Default.aspx?num=159&street=E%20HASTINGS%20STREET;159;E HASTINGS STREET;9;;"{""coordinates"": [-123.10081977, 49.28166287], ""type"": ""Point""}";Downtown;49.28166287, -123.10081977
The Natives Of Toi Shan Benevolent Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=237&street=E%20HASTINGS%20STREET;237;E HASTINGS STREET;3;60;"{""coordinates"": [-123.09870996, 49.2816102], ""type"": ""Point""}";Strathcona;49.2816102, -123.09870996
1215345 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E%20HASTINGS%20STREET;249;E HASTINGS STREET;2;39;"{""coordinates"": [-123.0983951, 49.28160462], ""type"": ""Point""}";Strathcona;49.28160462, -123.0983951
Kathed Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3570&street=E%20HASTINGS%20STREET;3570;E HASTINGS STREET;2;14;"{""coordinates"": [-123.02682211, 49.28085294], ""type"": ""Point""}";Hastings-Sunrise;49.28085294, -123.02682211
Young Young Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3648&street=E%20HASTINGS%20STREET;3648;E HASTINGS STREET;1;6;"{""coordinates"": [-123.02471529, 49.28085083], ""type"": ""Point""}";Hastings-Sunrise;49.28085083, -123.02471529
HE Rooms Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=235&street=E%20HASTINGS%20STREET;235;E HASTINGS STREET;2;74;"{""coordinates"": [-123.09880869, 49.28161236], ""type"": ""Point""}";Strathcona;49.28161236, -123.09880869
Summer Hotel Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=341&street=E%20HASTINGS%20STREET;341;E HASTINGS STREET;6;26;"{""coordinates"": [-123.09652869, 49.28157203], ""type"": ""Point""}";Strathcona;49.28157203, -123.09652869
PHS COMMUNITY SERVICES SOCIETY;http://app.vancouver.ca/RPS_Net/Default.aspx?num=344&street=E%20HASTINGS%20STREET;344;E HASTINGS STREET;10;107;"{""coordinates"": [-123.09638402, 49.28095418], ""type"": ""Point""}";Strathcona;49.28095418, -123.09638402
Kam Y Loh & Merrilee I Loh;http://app.vancouver.ca/RPS_Net/Default.aspx?num=437&street=E%20HASTINGS%20STREET;437;E HASTINGS STREET;1;12;"{""coordinates"": [-123.09436786, 49.28153156], ""type"": ""Point""}";Strathcona;49.28153156, -123.09436786
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=456&street=E%20HASTINGS%20STREET;456;E HASTINGS STREET;5;52;"{""coordinates"": [-123.09418189, 49.28091634], ""type"": ""Point""}";Strathcona;49.28091634, -123.09418189
Shon Yee Benevelent Assn Of Canada;http://app.vancouver.ca/RPS_Net/Default.aspx?num=504&street=E%20HASTINGS%20STREET;504;E HASTINGS STREET;1;45;"{""coordinates"": [-123.09326163, 49.28090253], ""type"": ""Point""}";Strathcona;49.28090253, -123.09326163
Pepple Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=561&street=E%20HASTINGS%20STREET;561;E HASTINGS STREET;7;54;"{""coordinates"": [-123.09199723, 49.28148942], ""type"": ""Point""}";Strathcona;49.28148942, -123.09199723
